Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link,ceo_indian_origin
ABPWW,Abpro Holdings Inc. Warrant,1094171.0,Jin Wook Suk,11,"Woburn, MassachusettsUnited States",2004,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ABPWW,https://www.google.com/finance/quote/ABPWW:NASDAQ?hl=en",no
ABR,Arbor Realty Trust Common Stock,1840895023.0,Ivan Kaufman,659,"SUITE 900, 333 EARLE OVINGTON BOULEVARD Uniondale, NY 11553 United States",2003,,"CNBC,Google Finance","https://www.google.com/finance/quote/ABR:NYSE?hl=en,https://www.cnbc.com/quotes/ABR",no
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,Ivan Kaufman,659,"SUITE 900, 333 EARLE OVINGTON BOULEVARD Uniondale, NY 11553 United States",2003,,"CNBC,Google Finance","https://www.google.com/finance/quote/ABR:NYSE?hl=en,https://www.cnbc.com/quotes/ABR",no
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,Ivan Kaufman,659,"SUITE 900, 333 EARLE OVINGTON BOULEVARD Uniondale, NY 11553 United States",2003,,"CNBC,Google Finance","https://www.google.com/finance/quote/ABR:NYSE?hl=en,https://www.cnbc.com/quotes/ABR",no
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,Ivan Kaufman,659,"SUITE 900, 333 EARLE OVINGTON BOULEVARD Uniondale, NY 11553 United States",2003,,"CNBC,Google Finance","https://www.google.com/finance/quote/ABR:NYSE?hl=en,https://www.cnbc.com/quotes/ABR",no
ABSI,Absci Corporation Common Stock,338032283.0,,157,"Vancouver, WashingtonUnited States",2011,,Google Finance,https://www.google.com/finance/quote/ABSI:NASDAQ?hl=en,
ABT,Abbott Laboratories Common Stock,232407354995.0,Robert B. Ford,"114,000","Chicago, IllinoisUnited States",1888,,Google Finance,https://www.google.com/finance/quote/ABT:NYSE?hl=en,no
ABTS,Abits Group Inc Ordinary Shares,9717570.0,Conglin Deng,11,"Floor 4 Banco Popular Building, Road Town Tortola 2299 1110 Hong Kong",2021,,"CNBC,Google Finance","https://www.google.com/finance/quote/ABTS:NASDAQ?hl=en,https://www.cnbc.com/quotes/ABTS",no
ABUS,Arbutus Biopharma Corporation Common Stock,643531153.0,William H. Collier,44,"Warminster Township, PennsylvaniaUnited States",2007,,Google Finance,https://www.google.com/finance/quote/ABUS:NASDAQ?hl=en,yes
ABVC,ABVC BioPharma Inc. Common Stock,22979368.0,,18,"44370 Old Warm Springs Blvd Fremont, CA 94538-6148 United States",2015,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ABVC,https://www.google.com/finance/quote/ABVC:NASDAQ?hl=en",
ABVE,Above Food Ingredients Inc. Common Stock,31975298.0,Jeff Alberto Ardura Gonzalez,,"Regina, SaskatchewanCanada",,,"CNBC,Google Finance","https://www.google.com/finance/quote/ABVE:NASDAQ?hl=en,https://www.cnbc.com/quotes/ABVE",yes
ABVEW,Above Food Ingredients Inc. Warrants,1423596.0,Jeff Alberto Ardura Gonzalez,,"2305 Victoria Avenue #001 Regina, SK S4P 0S7 Canada",2023,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ABVEW,https://www.google.com/finance/quote/ABVEW:NASDAQ?hl=en",yes
ABVX,Abivax SA American Depositary Shares,381567424.0,Hartmut J. Ehrlich,69,7-11 Boulevard Haussmann Paris 75009 France,"Dec 4, 2013",,"CNBC,Google Finance","https://www.google.com/finance/quote/ABVX:NASDAQ?hl=en,https://www.cnbc.com/quotes/ABVX",no
AC,Associated Capital Group Inc. Common Stock,788858106.0,,24,"Greenwich, ConnecticutUnited States",1976,,Google Finance,https://www.google.com/finance/quote/AC:NYSE?hl=en,
ACA,Arcosa Inc. Common Stock,4211363825.0,,"6,250","Dallas, TexasUnited States","Nov 1, 2018",Industrial Electronics,"Market Watch,Google Finance","https://www.google.com/finance/quote/ACA:NYSE?hl=en,https://www.marketwatch.com/investing/stock/ACA/company-profile?mod=mw_quote_tab",
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,3609995126.0,Catherine Owen Adams,654,"San Diego, CaliforniaUnited States",1993,Biotechnology,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/ACAD/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/ACAD:NASDAQ?hl=en",no
ACB,Aurora Cannabis Inc. Common Shares,289702118.0,Miguel Martin,"1,073","2207 90B Street Sw Leduc, AB T6X 1V8 Canada","Dec 21, 2006",Farming,"CNBC,Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/ACB/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACB,https://www.google.com/finance/quote/ACB:NASDAQ?hl=en",yes
ACCO,Acco Brands Corporation Common Stock,323455607.0,Boris Elisman,"5,000","Lake Zurich, IllinoisUnited States",1893,Nondurable Household Products,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/ACCO/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/ACCO:NYSE?hl=en",no
ACCS,ACCESS Newswire Inc. Common Stock,38920305.0,Brian Balbirnie,113,"1 Glenwood Ave., Suite 1001 Raleigh, NC 27603 United States",,Publishing,"CNBC,Market Watch","https://www.cnbc.com/quotes/ACCS,https://www.marketwatch.com/investing/stock/ACCS/company-profile?mod=mw_quote_tab",yes
ACDC,ProFrac Holding Corp. Class A Common Stock,1335888123.0,,"3,077","333 Shops Boulevard, Suite 301 Willow Park, TX 76087 United States",2016,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACDC,https://www.google.com/finance/quote/ACDC:NASDAQ?hl=en",
ACEL,Accel Entertainment Inc.,949675240.0,,"1,500","Burr Ridge, IllinoisUnited States",,,Google Finance,https://www.google.com/finance/quote/ACEL:NYSE?hl=en,
ACET,Adicet Bio Inc. Common Stock,59410324.0,Chen Schor CPA,152,"Boston, MassachusettsUnited States",2014,,"CNBC,Google Finance","https://www.google.com/finance/quote/ACET:NASDAQ?hl=en,https://www.cnbc.com/quotes/ACET",yes
ACGL,Arch Capital Group Ltd. Common Stock,35616670056.0,Nicolas Papadopoulo,"7,200","WATERLOO HOUSE GROUND FLOOR, 100 PITTS BAY ROAD Pembroke HM 08 Bermuda",2000,,"CNBC,Google Finance","https://www.google.com/finance/quote/ACGL:NASDAQ?hl=en,https://www.cnbc.com/quotes/ACGL",yes
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,6337099018.0,Nicolas Papadopoulo,"7,200","WATERLOO HOUSE GROUND FLOOR, 100 PITTS BAY ROAD Pembroke HM 08 Bermuda",2000,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACGLN,https://www.google.com/finance/quote/ACGLN:NASDAQ?hl=en",yes
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,7659982491.0,Nicolas Papadopoulo,"7,200","WATERLOO HOUSE GROUND FLOOR, 100 PITTS BAY ROAD Pembroke HM 08 Bermuda",2000,,"CNBC,Google Finance","https://www.google.com/finance/quote/ACGLO:NASDAQ?hl=en,https://www.cnbc.com/quotes/ACGLO",yes
ACHC,Acadia Healthcare Company Inc. Common Stock,2085645770.0,Christopher H. Hunter,"22,346","6100 Tower Circle, Suite 1000 Franklin, TN 37067 United States",2005,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACHC,https://www.google.com/finance/quote/ACHC:NASDAQ?hl=en",no
ACHR,Archer Aviation Inc. Class A Common Stock,5539521585.0,Adam Goldstein,774,"San Jose, CaliforniaUnited States","Oct 16, 2018",,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACHR,https://www.google.com/finance/quote/ACHR:NYSE?hl=en",yes
ACHV,Achieve Life Sciences Inc. Common Shares,124172558.0,,25,"Seattle, WashingtonUnited States",1991,,Google Finance,https://www.google.com/finance/quote/ACHV:NASDAQ?hl=en,
ACI,Albertsons Companies Inc. Class A Common Stock,12798919321.0,Vivek Sankaran,"196,650","Boise, IdahoUnited States",1939,,Google Finance,https://www.google.com/finance/quote/ACI:NYSE?hl=en,yes
ACIC,American Coastal Insurance Corporation Common Stock,522216850.0,,65,"570 Carillon Parkway, Suite 100 St Petersburg, FL 33716 United States",1999,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACIC,https://www.google.com/finance/quote/ACIC:NASDAQ?hl=en",
ACIU,AC Immune SA Common Stock,171701745.0,Andrea Pfeifer,153,"EPFL Innovation Park, Building B Lausanne 1015 Switzerland",2003,,"CNBC,Google Finance","https://www.google.com/finance/quote/ACIU:NASDAQ?hl=en,https://www.cnbc.com/quotes/ACIU",yes
ACIW,ACI Worldwide Inc. Common Stock,4852657578.0,,"3,103","Omaha, NebraskaUnited States",1975,,Google Finance,https://www.google.com/finance/quote/ACIW:NASDAQ?hl=en,
ACLS,Axcelis Technologies Inc. Common Stock,1810178171.0,Russell Low,"1,524","Beverly, MassachusettsUnited States",1995,,Google Finance,https://www.google.com/finance/quote/ACLS:NASDAQ?hl=en,yes
ACLX,Arcellx Inc. Common Stock,3419921988.0,Rami Elghandour,163,"Redwood City, CaliforniaUnited States",2014,,"CNBC,Google Finance","https://www.google.com/finance/quote/ACLX:NASDAQ?hl=en,https://www.cnbc.com/quotes/ACLX",no
ACM,AECOM Common Stock,14533221240.0,W. Troy Rudd,"51,000","13355 Noel Road, Suite 400 Dallas, TX 75240 United States","Apr 6, 1990",,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACM,https://www.google.com/finance/quote/ACM:NYSE?hl=en",no
ACMR,ACM Research Inc. Class A Common Stock,1440144565.0,David H. Wang,"2,023","42307 Osgood Rd Ste I Fremont, CA 94539-5062 United States",1998,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACMR,https://www.google.com/finance/quote/ACMR:NASDAQ?hl=en",yes
ACN,Accenture plc Class A Ordinary Shares (Ireland),215018216178.0,Julie Sweet,"801,000","1 Grand Canal Square Grand Canal Harbour, Dublin 2 Dublin D2 Ireland",1989,,"CNBC,Google Finance","https://www.google.com/finance/quote/ACN:NYSE?hl=en,https://www.cnbc.com/quotes/ACN",yes
ACNB,ACNB Corporation Common Stock,435391127.0,,404,"Gettysburg, PennsylvaniaUnited States",1857,,Google Finance,https://www.google.com/finance/quote/ACNB:NASDAQ?hl=en,
ACNT,Ascent Industries Co. Common Stock,129325246.0,,452,"Spartanburg, South CarolinaUnited States",1945,,Google Finance,https://www.google.com/finance/quote/ACNT:NASDAQ?hl=en,
ACOG,Alpha Cognition Inc. Common Stock,149464613.0,,52,"Vancouver, British ColumbiaCanada",2000,,Google Finance,https://www.google.com/finance/quote/ACOG:NASDAQ?hl=en,
ACON,Aclarion Inc. Common Stock,3773764.0,,6,"Broomfield, ColoradoUnited States",2008,,Google Finance,https://www.google.com/finance/quote/ACON:NASDAQ?hl=en,
ACONW,Aclarion Inc. Warrant,21548.0,,6,"Broomfield, ColoradoUnited States",2008,,Google Finance,https://www.google.com/finance/quote/ACONW:NASDAQ?hl=en,
ACP,abrdn Income Credit Strategies Fund Common Shares,0.0,,,"Philadelphia, PennsylvaniaUnited States",2011,,Google Finance,https://www.google.com/finance/quote/ACP:NYSE?hl=en,
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,,,"Philadelphia, PennsylvaniaUnited States",2011,,Google Finance,https://www.google.com/finance/quote/ACP:NYSE?hl=en,
ACR,ACRES Commercial Realty Corp. Common Stock,139824209.0,,,"390 RXR Plaza Uniondale, NY 11556 United States",2005,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACR,https://www.google.com/finance/quote/ACR:NYSE?hl=en",
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,,,,"390 RXR Plaza Uniondale, NY 11556 United States",2005,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACR,https://www.google.com/finance/quote/ACR:NYSE?hl=en",
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,,,"390 RXR Plaza Uniondale, NY 11556 United States",2005,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACR,https://www.google.com/finance/quote/ACR:NYSE?hl=en",
ACRE,Ares Commercial Real Estate Corporation Common Stock,253574677.0,,"3,200","Chicago, IllinoisUnited States",2011,,Google Finance,https://www.google.com/finance/quote/ACRE:NYSE?hl=en,
ACRS,Aclaris Therapeutics Inc. Common Stock,158090609.0,Neal Walker,63,"701 Lee Road, Suite 103 Wayne, PA 19087 United States",2012,,"CNBC,Google Finance","https://www.google.com/finance/quote/ACRS:NASDAQ?hl=en,https://www.cnbc.com/quotes/ACRS",yes
ACRV,Acrivon Therapeutics Inc. Common Stock,32923129.0,"Peter Blume-Jensen M.D., Ph.D.",77,"Watertown, MassachusettsUnited States",2018,,"CNBC,Google Finance","https://www.google.com/finance/quote/ACRV:NASDAQ?hl=en,https://www.cnbc.com/quotes/ACRV",yes
ACT,Enact Holdings Inc. Common Stock,5312346100.0,,421,"8325 Six Forks Road Raleigh, NC 27615 United States",2012,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACT,https://www.google.com/finance/quote/ACT:NASDAQ?hl=en",
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,358720448.0,,209,"Newport Beach, CaliforniaUnited States",1993,,Google Finance,https://www.google.com/finance/quote/ACTG:NASDAQ?hl=en,
ACTU,Actuate Therapeutics Inc. Common stock,233473954.0,,6,"Fort Worth, TexasUnited States",2015,,Google Finance,https://www.google.com/finance/quote/ACTU:NASDAQ?hl=en,
ACU,Acme United Corporation. Common Stock,150869422.0,Walter Johnsen,,"1 Waterview Drive, Suite 200 Shelton, CT 06484 United States",,,CNBC,https://www.cnbc.com/quotes/ACU,yes
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,228192247.0,,,"Greenfield, MassachusettsUnited States",2015,,Google Finance,https://www.google.com/finance/quote/ACV:NYSE?hl=en,
ACVA,ACV Auctions Inc. Class A Common Stock,2802041326.0,George G. Chamoun,"2,900","640 Ellicott St Buffalo, NY 14203 United States",2014,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ACVA,https://www.google.com/finance/quote/ACVA:NYSE?hl=en",no
ACXP,Acurx Pharmaceuticals Inc. Common Stock,9124952.0,David P Luci,4,"259 Liberty Avenue Staten Island, NY 10305 United States",2017,,"CNBC,Google Finance","https://www.google.com/finance/quote/ACXP:NASDAQ?hl=en,https://www.cnbc.com/quotes/ACXP",yes
ADAG,Adagene Inc. American Depositary Shares,91392537.0,Peter Luo Ph.D.,138,"4F, Building C14, No. 218 Xinghu Street, Suzhou Industrial Park Suzhou, JNG 215123 China",2011,,"CNBC,Google Finance","https://www.google.com/finance/quote/ADAG:NASDAQ?hl=en,https://www.cnbc.com/quotes/ADAG",no
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,465165542.0,Adrian Rawcliffe,506,"60 Jubilee Avenue, Milton Park Abingdon OX14 4RX United Kingdom",2008,,"CNBC,Google Finance","https://www.google.com/finance/quote/ADAP:NASDAQ?hl=en,https://www.cnbc.com/quotes/ADAP",no
ADBE,Adobe Inc. Common Stock,177077394000.0,Shantanu Narayen,"30,709","San Jose, CaliforniaUnited States",Dec 1982,,Google Finance,https://www.google.com/finance/quote/ADBE:NASDAQ?hl=en,yes
ADC,Agree Realty Corporation Common Stock,8284396664.0,,75,"Farmington Hills, MichiganUnited States",1971,,Google Finance,https://www.google.com/finance/quote/ADC:NYSE?hl=en,
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,,,75,"Farmington Hills, MichiganUnited States",1971,,Google Finance,https://www.google.com/finance/quote/ADC:NYSE?hl=en,
ADCT,ADC Therapeutics SA Common Shares,306460904.0,,264,"Biopole, route de la Corniche 3B Epalinges 1066 Switzerland",2011,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ADCT,https://www.google.com/finance/quote/ADCT:NYSE?hl=en",
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,613223.0,,47,"80 Broad Street, 5Th Floor New York, NY 10005 United States",2002,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ADD,https://www.google.com/finance/quote/ADD:NASDAQ?hl=en",
ADEA,Adeia Inc. Common Stock,1393138100.0,Paul E. Davis,150,"San Jose, CaliforniaUnited States",2015,Semiconductors,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/ADEA/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/ADEA:NASDAQ?hl=en",no
ADGM,Adagio Medical Holdings Inc Common Stock,17381168.0,Todd Usen,80,"Laguna Hills, CaliforniaUnited States",2011,Medical Equipment/Supplies,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/ADGM/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/ADGM:NASDAQ?hl=en",no
ADI,Analog Devices Inc. Common Stock,106187188980.0,Vincent Roche,"24,000","Wilmington, MassachusettsUnited States",1965,Semiconductors,"Market Watch,Google Finance","https://www.google.com/finance/quote/ADI:NASDAQ?hl=en,https://www.marketwatch.com/investing/stock/ADI/company-profile?mod=mw_quote_tab",no
ADIL,Adial Pharmaceuticals Inc Common Stock,5411976.0,Cary J. Claiborne,5,"Charlottesville, VirginiaUnited States",2010,Biotechnology,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/ADIL/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/ADIL:NASDAQ?hl=en",yes
ADM,Archer-Daniels-Midland Company Common Stock,23191322224.0,Juan Ricardo Luciano,"43,213","Chicago, IllinoisUnited States",1902,Food Products,"Market Watch,Google Finance","https://www.google.com/finance/quote/ADM:NYSE?hl=en,https://www.marketwatch.com/investing/stock/ADM/company-profile?mod=mw_quote_tab",no
ADMA,ADMA Biologics Inc Common Stock,4736487441.0,,685,"Ramsey, New JerseyUnited States",2004,,Google Finance,https://www.google.com/finance/quote/ADMA:NASDAQ?hl=en,
ADN,Advent Technologies Holdings Inc. Class A Common Stock,6459445.0,Gary Herman,100,"Boston, MassachusettsUnited States",2018,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ADN,https://www.google.com/finance/quote/ADN:NASDAQ?hl=en",no
